D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
2.36000000e+00,9.98089895e-01,9.98023526e-01,1.52323059e+00,1.51088868e+00,1.79357626e+00,1.73541431e+00,1.90218074e+00,1.79543927e+00,1.94112039e+00,1.80600558e+00
2.38000000e+00,9.89799295e-01,9.89993653e-01,1.51053452e+00,1.49782613e+00,1.77857648e+00,1.71978763e+00,1.88622960e+00,1.77914824e+00,1.92482167e+00,1.78968744e+00
2.40000000e+00,9.81560375e-01,9.82007594e-01,1.49793673e+00,1.48486815e+00,1.76370433e+00,1.70431804e+00,1.87041931e+00,1.76303946e+00,1.90866883e+00,1.77356109e+00
2.42000000e+00,9.73373146e-01,9.74065452e-01,1.48543627e+00,1.47201405e+00,1.74895815e+00,1.68900369e+00,1.85474788e+00,1.74711029e+00,1.89265975e+00,1.75762350e+00
2.44000000e+00,9.65237604e-01,9.66167320e-01,1.47303222e+00,1.45926313e+00,1.73433631e+00,1.67384273e+00,1.83921335e+00,1.73135814e+00,1.87679236e+00,1.74187172e+00
2.46000000e+00,9.57153741e-01,9.58313283e-01,1.46072367e+00,1.44661469e+00,1.71983725e+00,1.65883337e+00,1.82381384e+00,1.71578048e+00,1.86106463e+00,1.72630286e+00
2.48000000e+00,9.49121536e-01,9.50503420e-01,1.44850972e+00,1.43406805e+00,1.70545942e+00,1.64397382e+00,1.80854750e+00,1.70037483e+00,1.84547462e+00,1.71091409e+00
2.50000000e+00,9.41140963e-01,9.42737802e-01,1.43638950e+00,1.42162253e+00,1.69120131e+00,1.62926233e+00,1.79341253e+00,1.68513875e+00,1.83002040e+00,1.69570264e+00
2.52000000e+00,9.33211986e-01,9.35016490e-01,1.42436214e+00,1.40927742e+00,1.67706144e+00,1.61469717e+00,1.77840716e+00,1.67006984e+00,1.81470010e+00,1.68066579e+00
2.54000000e+00,9.25334561e-01,9.27339542e-01,1.41242681e+00,1.39703206e+00,1.66303839e+00,1.60027665e+00,1.76352970e+00,1.65516576e+00,1.79951191e+00,1.66580088e+00
2.56000000e+00,9.17508639e-01,9.19707005e-01,1.40058267e+00,1.38488575e+00,1.64913075e+00,1.58599907e+00,1.74877846e+00,1.64042421e+00,1.78445405e+00,1.65110531e+00
2.58000000e+00,9.09734159e-01,9.12118921e-01,1.38882890e+00,1.37283782e+00,1.63533715e+00,1.57186280e+00,1.73415182e+00,1.62584292e+00,1.76952478e+00,1.63657652e+00
2.60000000e+00,9.02011059e-01,9.04575326e-01,1.37716472e+00,1.36088758e+00,1.62165626e+00,1.55786620e+00,1.71964819e+00,1.61141967e+00,1.75472243e+00,1.62221200e+00
2.62000000e+00,8.94339266e-01,8.97076246e-01,1.36558933e+00,1.34903436e+00,1.60808675e+00,1.54400767e+00,1.70526601e+00,1.59715228e+00,1.74004534e+00,1.60800932e+00
2.64000000e+00,8.86718702e-01,8.89621706e-01,1.35410196e+00,1.33727749e+00,1.59462736e+00,1.53028562e+00,1.69100377e+00,1.58303861e+00,1.72549191e+00,1.59396605e+00
2.66000000e+00,8.79149283e-01,8.82211718e-01,1.34270185e+00,1.32561630e+00,1.58127683e+00,1.51669849e+00,1.67685999e+00,1.56907656e+00,1.71106057e+00,1.58007985e+00
2.68000000e+00,8.71630919e-01,8.74846294e-01,1.33138826e+00,1.31405012e+00,1.56803394e+00,1.50324475e+00,1.66283322e+00,1.55526406e+00,1.69674979e+00,1.56634841e+00
2.70000000e+00,8.64163514e-01,8.67525436e-01,1.32016046e+00,1.30257828e+00,1.55489750e+00,1.48992287e+00,1.64892206e+00,1.54159907e+00,1.68255807e+00,1.55276945e+00
2.72000000e+00,8.56746967e-01,8.60249140e-01,1.30901772e+00,1.29120011e+00,1.54186633e+00,1.47673137e+00,1.63512512e+00,1.52807962e+00,1.66848395e+00,1.53934076e+00
